epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.18732,1.02641,2.84801,1.15534,0.30362,1,0.64131,0.51553,0.67623,2.72047,0.90572,0.000375,0.000375,0.000375
2,7.47954,1.00514,1.77547,1.12116,0.87977,0.5931,0.81885,0.66002,0.78573,2.10085,0.96903,0.000749919,0.000749919,0.000749919
3,10.8428,1.03536,1.69244,1.16941,0.8,0.73726,0.87803,0.60772,1.0937,1.90028,1.14713,0.00111205,0.00111205,0.00111205
4,14.1313,0.98813,1.54438,1.10736,0.74575,0.87917,0.89431,0.64737,1.11865,1.71696,1.10827,0.00118812,0.00118812,0.00118812
5,17.3339,0.91641,1.31808,1.08359,0.9735,0.91667,0.93111,0.73955,0.79361,1.14532,0.96489,0.0011675,0.0011675,0.0011675
6,20.6798,0.90314,1.23015,1.08551,0.91405,0.97722,0.98867,0.85263,0.64554,0.90509,0.91135,0.00114688,0.00114688,0.00114688
7,23.9431,0.83853,1.10829,1.02794,0.86406,0.88823,0.96372,0.7965,0.71361,1.12684,0.95873,0.00112625,0.00112625,0.00112625
8,27.1838,0.85445,1.03353,1.04223,0.97383,0.96388,0.99229,0.81627,0.67685,0.69671,0.91435,0.00110563,0.00110563,0.00110563
9,30.4585,0.83835,0.95211,1.034,0.96893,0.9547,0.9846,0.83452,0.61335,0.64488,0.90955,0.001085,0.001085,0.001085
10,33.656,0.78543,0.87549,1.01449,0.96654,0.91667,0.93129,0.82556,0.60732,0.60348,0.90122,0.00106437,0.00106437,0.00106437
11,36.8603,0.78063,0.82679,1.01531,0.95991,0.97917,0.97843,0.86488,0.56355,0.61829,0.88396,0.00104375,0.00104375,0.00104375
12,40.117,0.77097,0.837,1.00065,0.98503,0.90987,0.9646,0.86112,0.54932,0.54842,0.88604,0.00102312,0.00102312,0.00102312
13,43.2712,0.75125,0.77827,1.00652,0.97879,0.96614,0.98274,0.89603,0.45164,0.48367,0.85092,0.0010025,0.0010025,0.0010025
14,46.5047,0.71868,0.70142,0.97963,0.9759,0.97917,0.97915,0.86852,0.53189,0.48041,0.86909,0.000981875,0.000981875,0.000981875
15,49.747,0.71669,0.6784,0.97539,0.94372,0.97531,0.9805,0.86254,0.62373,0.4926,0.90148,0.00096125,0.00096125,0.00096125
16,52.9801,0.71657,0.69105,0.98805,0.96763,0.97917,0.98483,0.87681,0.5301,0.45474,0.86855,0.000940625,0.000940625,0.000940625
17,56.2039,0.70062,0.64211,0.97699,0.43114,0.08975,0.11574,0.07952,1.94092,4.40742,2.36782,0.00092,0.00092,0.00092
18,59.4467,0.69187,0.632,0.97492,0.98189,0.97917,0.98274,0.86062,0.55635,0.43342,0.88691,0.000899375,0.000899375,0.000899375
19,62.6178,0.68067,0.60673,0.96336,0.98312,0.98231,0.995,0.91051,0.45396,0.39186,0.84942,0.00087875,0.00087875,0.00087875
20,65.8871,0.68464,0.58679,0.98107,0.96365,0.97917,0.99214,0.85625,0.50845,0.41836,0.86682,0.000858125,0.000858125,0.000858125
21,69.0752,0.65252,0.5625,0.96386,0.93899,0.97917,0.96669,0.88421,0.45948,0.47379,0.84963,0.0008375,0.0008375,0.0008375
22,72.2472,0.66092,0.55908,0.97398,0.91894,0.97917,0.97333,0.88403,0.44245,0.41653,0.85125,0.000816875,0.000816875,0.000816875
23,75.4865,0.65685,0.57133,0.96922,0.96861,0.98823,0.995,0.91617,0.41539,0.35062,0.84265,0.00079625,0.00079625,0.00079625
24,78.671,0.6249,0.52007,0.96265,0.94091,0.95713,0.98763,0.88749,0.43964,0.38279,0.84958,0.000775625,0.000775625,0.000775625
25,81.8294,0.66268,0.52364,0.96066,0.96482,0.97917,0.991,0.92664,0.43037,0.40323,0.84676,0.000755,0.000755,0.000755
26,85.0368,0.68833,0.52894,0.9629,0.97051,0.97917,0.98413,0.91832,0.40442,0.37508,0.83832,0.000734375,0.000734375,0.000734375
27,88.256,0.62221,0.50457,0.95083,0.9258,0.97486,0.97022,0.90728,0.38467,0.40004,0.83471,0.00071375,0.00071375,0.00071375
28,91.4806,0.64713,0.49663,0.96497,0.96076,0.91667,0.9625,0.90148,0.40031,0.42135,0.83503,0.000693125,0.000693125,0.000693125
29,94.7002,0.62957,0.49162,0.95235,0.96966,0.97917,0.98274,0.88139,0.4805,0.42145,0.8517,0.0006725,0.0006725,0.0006725
30,97.9088,0.64251,0.49181,0.96403,0.96146,0.97917,0.98427,0.91246,0.42962,0.39202,0.843,0.000651875,0.000651875,0.000651875
31,101.095,0.58151,0.4574,0.94121,0.94162,0.97532,0.98381,0.93147,0.37753,0.38999,0.83344,0.00063125,0.00063125,0.00063125
32,104.285,0.58179,0.4538,0.9441,0.97625,0.97917,0.96986,0.922,0.35818,0.38022,0.8243,0.000610625,0.000610625,0.000610625
33,107.471,0.57158,0.44234,0.94373,0.97184,0.97917,0.98186,0.93532,0.33803,0.36812,0.82276,0.00059,0.00059,0.00059
34,110.795,0.56749,0.43296,0.93564,0.96489,0.91659,0.991,0.92596,0.38621,0.37859,0.83002,0.000569375,0.000569375,0.000569375
35,114.044,0.55557,0.42391,0.93129,0.97089,0.97917,0.9835,0.92931,0.38135,0.36273,0.8275,0.00054875,0.00054875,0.00054875
36,117.239,0.54017,0.41352,0.9129,0.96847,0.97917,0.98983,0.90529,0.44582,0.35133,0.84925,0.000528125,0.000528125,0.000528125
37,120.418,0.54831,0.41175,0.92431,0.91609,0.97346,0.98795,0.93527,0.36444,0.36367,0.83199,0.0005075,0.0005075,0.0005075
38,123.613,0.54481,0.40822,0.92407,0.96283,0.91667,0.97979,0.90777,0.36466,0.33972,0.82533,0.000486875,0.000486875,0.000486875
39,126.808,0.54347,0.429,0.91392,0.96328,0.97917,0.987,0.93082,0.34958,0.33858,0.82189,0.00046625,0.00046625,0.00046625
40,130.028,0.54283,0.42075,0.91849,0.93872,0.97589,0.99346,0.90861,0.39713,0.30777,0.83531,0.000445625,0.000445625,0.000445625
41,133.296,0.516,0.39957,0.91308,0.92056,0.97917,0.98883,0.94402,0.35568,0.33559,0.82288,0.000425,0.000425,0.000425
42,136.487,0.51109,0.38887,0.90996,0.9107,0.97584,0.99214,0.94472,0.34581,0.33011,0.8212,0.000404375,0.000404375,0.000404375
43,139.752,0.49167,0.37043,0.90231,0.94521,0.99197,0.99346,0.94613,0.36175,0.30539,0.82603,0.00038375,0.00038375,0.00038375
44,142.942,0.47835,0.35197,0.90517,0.91601,0.98596,0.99346,0.94538,0.32358,0.33624,0.81922,0.000363125,0.000363125,0.000363125
45,146.185,0.47147,0.35715,0.89302,0.97085,0.92136,0.98717,0.94333,0.35537,0.33826,0.82327,0.0003425,0.0003425,0.0003425
46,149.435,0.46532,0.3477,0.88919,0.93354,0.97546,0.98583,0.95714,0.31505,0.33943,0.82432,0.000321875,0.000321875,0.000321875
47,152.67,0.47793,0.35573,0.89509,0.92541,0.96717,0.985,0.934,0.34997,0.36084,0.82603,0.00030125,0.00030125,0.00030125
48,155.881,0.47923,0.34563,0.90441,0.92449,0.96272,0.98912,0.9504,0.3268,0.33747,0.81985,0.000280625,0.000280625,0.000280625
49,159.105,0.44239,0.33116,0.88542,0.92541,0.97512,0.99214,0.93982,0.35772,0.31393,0.82195,0.00026,0.00026,0.00026
50,162.303,0.44408,0.32929,0.88853,0.92508,0.97061,0.99214,0.94554,0.33542,0.30987,0.81839,0.000239375,0.000239375,0.000239375
51,176.242,0.40909,0.28772,0.85794,0.96344,0.97917,0.98358,0.93396,0.35369,0.32787,0.82031,0.00021875,0.00021875,0.00021875
52,179.394,0.38561,0.2711,0.83878,0.96129,0.97917,0.98272,0.93378,0.32994,0.32185,0.81687,0.000198125,0.000198125,0.000198125
53,182.544,0.38024,0.26769,0.85008,0.96458,0.97917,0.98094,0.93463,0.32735,0.32925,0.81322,0.0001775,0.0001775,0.0001775
54,185.821,0.37164,0.26012,0.82688,0.94947,0.97917,0.9805,0.92135,0.32971,0.33357,0.81707,0.000156875,0.000156875,0.000156875
55,189.024,0.36091,0.24721,0.83362,0.94416,0.9777,0.9819,0.92543,0.32746,0.33379,0.81561,0.00013625,0.00013625,0.00013625
56,192.256,0.35682,0.24828,0.85126,0.953,0.97917,0.98474,0.9306,0.33097,0.32108,0.81807,0.000115625,0.000115625,0.000115625
57,195.516,0.35434,0.24506,0.83399,0.96227,0.97917,0.98646,0.92967,0.34034,0.32259,0.8178,9.5e-05,9.5e-05,9.5e-05
58,198.702,0.33544,0.23702,0.82729,0.96795,0.97917,0.98646,0.93102,0.3349,0.30643,0.81457,7.4375e-05,7.4375e-05,7.4375e-05
59,201.934,0.35212,0.24369,0.84037,0.96558,0.97917,0.987,0.93077,0.3326,0.30649,0.81415,5.375e-05,5.375e-05,5.375e-05
60,205.131,0.33024,0.23126,0.82349,0.96119,0.9791,0.98591,0.92871,0.32911,0.30663,0.81492,3.3125e-05,3.3125e-05,3.3125e-05
