epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.68563,1.04431,2.64843,1.05748,0.00514,1,0.47092,0.33019,0.83215,3.09346,0.83025,0.000404412,0.000404412,0.000404412
2,11.8604,1.07146,1.41956,1.07155,0.89533,0.31232,0.69273,0.48076,0.99478,2.49687,0.96116,0.00081295,0.00081295,0.00081295
3,17.0274,1.01708,1.2358,1.06558,0.92933,0.65941,0.89635,0.73268,0.69654,2.14757,0.92656,0.00121324,0.00121324,0.00121324
4,21.9659,1.0119,1.13051,1.10257,0.95008,0.88676,0.96868,0.7283,0.83713,1.18752,0.97443,0.00121287,0.00121287,0.00121287
5,27.58,0.93063,0.99717,1.07027,0.90597,0.90628,0.96833,0.80315,0.72384,1.18066,1.03423,0.0012005,0.0012005,0.0012005
6,32.2876,0.91573,0.94658,1.07437,0.94018,0.90717,0.95466,0.61658,1.27008,1.27786,1.25494,0.00118812,0.00118812,0.00118812
7,38.1198,0.93501,0.91788,1.08743,0.94739,0.81229,0.9524,0.76949,0.80372,1.00588,0.97674,0.00117575,0.00117575,0.00117575
8,42.8018,0.88709,0.88778,1.08417,0.9801,0.92727,0.98646,0.85327,0.60405,0.77122,0.91241,0.00116337,0.00116337,0.00116337
9,47.5187,0.81134,0.77875,1.01592,0.9871,0.99505,0.995,0.8647,0.58803,0.70493,0.93728,0.001151,0.001151,0.001151
10,53.3785,0.8029,0.74925,1.02215,0.9899,0.9566,0.98412,0.75499,0.83406,0.75883,0.97945,0.00113863,0.00113863,0.00113863
11,57.953,0.79298,0.69898,1.03391,0.96462,0.96873,0.99297,0.84912,0.60867,0.72313,0.91859,0.00112625,0.00112625,0.00112625
12,63.9523,0.78356,0.68771,1.01104,0.98418,0.99841,0.995,0.81118,0.80157,0.62912,1.02484,0.00111388,0.00111388,0.00111388
13,69.0649,0.76604,0.70801,1.01014,0.94699,0.95905,0.97812,0.85544,0.50527,0.6406,0.90368,0.0011015,0.0011015,0.0011015
14,73.8648,0.77529,0.67745,1.0252,0.9763,0.99579,0.995,0.88387,0.50914,0.55467,0.89441,0.00108913,0.00108913,0.00108913
15,79.7332,0.73645,0.64698,0.99947,0.94877,0.99519,0.995,0.88672,0.51019,0.54125,0.86479,0.00107675,0.00107675,0.00107675
16,85.0544,0.73394,0.63859,1.00162,0.94988,0.992,0.99297,0.8743,0.54853,0.54701,0.87916,0.00106437,0.00106437,0.00106437
17,90.965,0.71473,0.60314,0.99196,0.96902,0.95775,0.995,0.8761,0.51058,0.51196,0.89007,0.001052,0.001052,0.001052
18,95.6357,0.68743,0.59216,0.98958,0.99062,0.95655,0.98804,0.88802,0.47532,0.50609,0.87317,0.00103962,0.00103962,0.00103962
19,100.381,0.69771,0.60644,0.98937,0.98863,0.96263,0.98816,0.86833,0.55476,0.52185,0.89141,0.00102725,0.00102725,0.00102725
20,106.271,0.71276,0.58897,1.00149,0.98217,0.96667,0.9812,0.86719,0.49131,0.56478,0.87909,0.00101488,0.00101488,0.00101488
21,110.891,0.68504,0.57535,0.97587,0.97249,0.99555,0.995,0.89618,0.45463,0.45748,0.87713,0.0010025,0.0010025,0.0010025
22,116.746,0.64381,0.53948,0.95952,0.94996,1,0.995,0.891,0.49773,0.46128,0.87564,0.000990125,0.000990125,0.000990125
23,121.279,0.64711,0.54181,0.97201,0.94484,0.99266,0.995,0.85636,0.50366,0.49153,0.88425,0.00097775,0.00097775,0.00097775
24,125.879,0.68129,0.55885,0.99345,0.99185,0.95328,0.98865,0.8805,0.46552,0.4618,0.85877,0.000965375,0.000965375,0.000965375
25,131.662,0.69566,0.54356,0.99266,0.98683,0.97981,0.99406,0.89787,0.40664,0.42132,0.85125,0.000953,0.000953,0.000953
26,136.347,0.62441,0.5125,0.95659,0.97337,0.98405,0.995,0.90236,0.40264,0.40851,0.84416,0.000940625,0.000940625,0.000940625
27,141.972,0.6449,0.51935,0.97101,0.98149,1,0.995,0.89979,0.42034,0.36693,0.84853,0.00092825,0.00092825,0.00092825
28,146.812,0.66093,0.51744,0.97777,0.99353,0.9812,0.99406,0.90484,0.43506,0.37018,0.8586,0.000915875,0.000915875,0.000915875
29,151.437,0.60695,0.49243,0.94255,0.98619,0.98565,0.995,0.90024,0.4515,0.37073,0.84741,0.0009035,0.0009035,0.0009035
30,157.439,0.61462,0.48056,0.96143,0.99196,1,0.995,0.89425,0.45768,0.35571,0.848,0.000891125,0.000891125,0.000891125
